candidate id (if applicable),committee id,committee name,filing frequency,Election year (if applicable),committee type,committee designation,filing start date,filing end date,total disbursements,new loans,outstanding loans,total receipts,cash on hand close of period,contributions from party committees,contributions from other committees,Transfers received from other affiliated or authorized committees,Individual Itemized Contribution,Individual Unitemized Contribution,Contributions from the candidate (candidate committees only),Sum of loans from the candidate,Sum of loans from other sources
H0WI06061,C00107003,CITIZENS FOR TOM PETRI,Termination report,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,428728.00,,,554.00,,,,,,,,,
H0WA02080,C00345546,CITIZENS TO ELECT RICK LARSEN,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,98031.60,,,51243.30,255822.09,,40500.00,,10250.00,492.80,,,
H4NC02127,C00556092,CLAY AIKEN FOR NORTH CAROLINA,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,4975.65,,70086.99,4943.93,,,,,,,,,
H4NC02127,C00556092,CLAY AIKEN FOR NORTH CAROLINA,Quarterly,2016,House,Principal Committee of Candidate,2015-04-01,2015-04-22,,,,,,,,,,,,,
H6TN01388,C00444471,CITIZENS TO ELECT PHIL ROE TO CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,26553.31,,,144.21,353896.39,,,,,120.00,,,
H6WA07409,C00558346,CITIZENS TO ELECT DON RIVERS TO CONGRESS 2014,Quarterly,2016,House,Principal Committee of Candidate,2015-01-31,2015-02-28,,,,831.00,,,,,,,,,
H4WA04088,C00558502,CLINT DIDIER FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-02-12,4000.00,,,,,,,,,,,,
H4WA04088,C00558502,CLINT DIDIER FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-02-13,2015-03-31,,,,,,,,,,,,,
H6CO06017,C00570754,CNORRIS 4 CD1,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,87.11,,3500.00,25.00,3408.24,,,,,25.00,,,
H4NC12134,C00558106,COAKLEY FOR CONGRESS ELECTION COMMITTEE,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,20566.72,,18991.98,4910.00,1343.09,,,,4500.00,410.00,,,
H4CA09069,C00543751,COLANGELO FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,28257.09,,17.64,,,,,,,,
H4FL15155,C00548537,COHN FOR CONGRESS 2014,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,6102.07,,,,8532.59,,,,,,,,
S6ME00159,C00314575,COLLINS FOR SENATOR,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,30459.00,,,1313.00,899621.00,,,,700.00,,,,
S0AR00036,C00461871,COLEMAN FOR SENATE,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,3.00,,79189.00,,22.00,,,,,,,,
H4GA10071,C00544684,COLLINS FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,155941.43,,,,,,,,,,
H4AR02166,C00552273,COLONEL CONRAD REYNOLDS FOR CONGRESS,Termination report,2016,House,Principal Committee of Candidate,2015-01-01,2015-01-01,,,,,,,,,,,,,
H2GU00033,C00369686,COMM. TO ELECT MADELEINE Z. BORDALLO,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,13055.48,,,11400.00,19177.11,,,,10510.00,890.00,,,
H4OH03089,C00559351,COMMITTEE FOR VENNON,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,,,,,,,,,,,
S4AL00091,C00569046,COMMITTEE FOR VICTOR SANCHEZ WILLIAMS,Termination report,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,,,,,250.00,,,,,,,,
H8PR00062,C00435636,"COMITE PIERLUISI, INC.",Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,16359.94,,,20250.00,4453.09,,3500.00,,16750.00,,,,
H4MI01122,C00555664,COMMITTEE TO ELECT ALAN ARCAND FOR CONGRESS; THE,Termination report,2016,House,Principal Committee of Candidate,,2015-04-29,,,,,,,,,,,,,
H6FL08213,C00424713,COMMITTEE TO ELECT ALAN GRAYSON,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,189969.15,,2351521.99,201512.08,56875.53,,25000.00,,72472.44,104038.75,,,
H4GA01120,C00556340,COMMITTEE TO ELECT BRIAN REESE FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,73.66,,3000.00,134.00,-657.47,,,,,100.00,,,
S4NE00132,C00553065,COMMITTEE TO ELECT CLIFTON R JOHNSON TO UNITED STATES SENATE,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,9.00,,,,12.00,,,,,,,,
H4NC13033,C00553842,COMMITTEE TO ELECT CLEARY FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,5057.05,,5000.00,,9634.13,,,,,,,,
H8CT05120,C00434084,COMMITTEE TO ELECT DAVID CAPPIELLO FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,,,28515.76,,,,,,,,
H4MA09086,C00556217,COMMITTEE TO ELECT DAN SHORES,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,218351.85,745.85,964.90,,,,,,,,
H0WA02171,C00481945,COMMITTEE TO ELECT DIANA MCGINNESS,Termination report,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,571.00,,,,,,,,,,
H2MO06202,C00559005,COMMITTEE TO ELECT DR. W.A. (BILL) HEDGE,Termination report,2016,House,Principal Committee of Candidate,2015-01-01,2015-01-02,,,24000.00,,6259.20,,,,,,,,
H4NY07011,C00165241,"COMMITTEE TO ELECT GARY L. ACKERMAN, INC.",Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,1277.17,,,2.79,18463.16,,,,,,,,
H4MI09075,C00543512,COMMITTEE TO ELECT GEORGE BRIKHO,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,,,2134.88,,,,,,,,
S2CA00716,C00510792,COMMITTEE TO ELECT GLORIA FOR CONGRESS 2012,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-04-30,,,,,633.00,,,,,,,,
H0IN09138,C00491068,COMMITTEE TO ELECT GREG ''NO BULL'' KNOTT,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,5.00,,5153.00,,163.00,,,,,,,,
H4VA08331,C00562157,COMMITTEE TO ELECT GWENDOLYN BECK TO CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,1256.49,,5883.43,,-173.73,,,,,,,,
H0MI12127,C00518977,COMMITTEE TO ELECT DON VOLARIC,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,8265.31,,103.23,,,,,,,,
H4AL03061,C00569699,COMMITTEE TO ELECT JESSE T SMITH FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2014-12-06,2015-01-31,3500.00,,,3500.00,,,,,,,3500.00,,
H4NM02064,C00546374,COMMITTEE TO ELECT LESLIE TO CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,28541.11,,63558.89,,,,,,,,,,
H6PA05133,C00555458,FRIENDS OF KERITH,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,1722.00,,20000.00,147.00,3289.82,,,,,,147.00,,
H4AL03061,C00569699,COMMITTEE TO ELECT JESSE T SMITH FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,,,,,,,,,,,
H0MA10132,C00488536,COMMITTEE TO ELECT MARYANNE LEWIS,A,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,,,-15417.32,,,,,,,,
H8WA03156,C00551762,COMMITTEE TO ELECT MICHAEL DELAVAR,Termination report,2016,House,Principal Committee of Candidate,2015-01-01,2015-01-27,1556.69,,,,,,,,,,,,
H4IL00032,C00548859,COMMITTEE TO ELECT RANDALL OLSEN,Quarterly,2016,House,Principal Committee of Candidate,2014-11-25,2015-04-15,,,,,,,,,,,,,
H4TN09063,C00556084,COMMITTEE TO ELECT RICKY E WILKINS TO CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-04-01,2015-04-10,,,,,,,,,,,,,
H4MI06105,C00540856,CLEMENTS FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,120.25,,,,234.63,,,,,,,,
H2SC07116,C00508911,COMMITTEE TO ELECT RANDAL WALLACE,Termination report,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,11454.10,,,7575.00,1920.51,,,,5800.00,1775.00,,,
H8MA01035,C00449397,COMMITTEE TO ELECT NATHAN BECH; THE,A,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,96860.95,,4773.74,,,,,,,,
H4WA01258,C00561878,COMMITTEE TO ELECT ROBERT J SUTHERLAND; THE,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,362.00,,,,,,,,,,,,
H2CA48095,C00516922,COMMITTEE TO ELECT RON VARASTEH,A,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,75000.00,,75000.00,,5372.46,,,,,,,,
H0NY02176,C00473777,"COMMITTEE TO ELECT STEPHEN A. LABATE, INC.",Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,3349.69,,27900.00,,193.04,,,,,,,,
H2NC10090,C00506329,COMMITTEE TO ELECT TERRY BELLAMY TO CONGRESS; THE,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,200.50,,17777.78,100.00,289.50,,,,,100.00,,,
S6CA00675,C00576512,COMMITTEE TO ELECT TOM PALZER US SENATE 2016,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-04-15,1333.00,,,1633.00,300.00,,,,400.00,,1233.00,,
H4CA42086,C00546580,COMMITTEE TO ELECT TIM SHERIDAN TO CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,1314.55,,4265.13,831.26,18601.15,,,,,,,,
H8IN07150,C00546721,COMMITTEE TO ELECT WAYNE E HARMON,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,,,,,,,,,,,
H6GA04129,C00418293,COMMITTEE TO RE-ELECT HENRY HANK JOHNSON,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,33790.35,,17211.20,43941.45,25478.64,,38280.00,,2700.00,2955.50,,,
H2NY00010,C00271312,COMMITTEE TO RE-ELECT NYDIA M. VELAZQUEZ TO CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,47948.83,,7736.52,23050.00,214821.04,,23000.00,,,50.00,,,
H6CA24048,C00013128,CONGRESSMAN WAXMAN CAMPAIGN COMMITTEE,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,20832.27,,,,460239.17,,,,,,,,
S4OK00307,C00561696,CONNIE JOHNSON FOR OKLAHOMA,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,6261.00,,,7601.00,1375.00,,1000.00,,6150.00,50.00,,,
H0AZ04493,C00474007,CONTRERAS FOR ARIZONA,A,2016,House,Principal Committee of Candidate,2015-07-01,2015-09-30,,,25510.00,,,,,,,,,,
H6MI01028,C00409797,CONYERS FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,76204.69,,8960.20,83694.30,15481.63,,57000.00,,23100.00,3594.20,,,
H2CA15086,C00502088,CORBETT FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,719.53,,58000.00,,9651.61,,,,,,,,
H4SD00049,C00551127,CORINNA FOR SOUTH DAKOTA,Termination report,2016,House,Principal Committee of Candidate,2015-01-01,2015-02-21,1231.39,,12357.62,13405.62,12190.60,,,,,,13405.62,,
S4CO00395,C00492454,CORY GARDNER FOR SENATE,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,301766.00,,30693.00,83766.00,59054.00,,52500.00,14613.00,14400.00,1395.00,,,
H4MN02128,C00546465,CRAFT FOR CONGRESS,Termination report,2016,House,Principal Committee of Candidate,2015-01-01,2015-04-14,200.96,,,150.00,40.47,,,,,,150.00,,
S0ID00057,C00115667,CRAIG FOR US SENATE,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,,,,,641.00,,,,,,,,
H0PA14039,C00119701,COYNE FOR CONGRESS (WILLIAM J COYNE),Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,31.06,,,,41606.93,,,,,,,,
H0ND01026,C00504704,CRAMER FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,37413.42,,,126651.00,110135.54,,102000.00,,16300.00,8029.00,,,
,C00012484,FLORIDA BANKERS ASSOCIATION POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-02-01,2015-02-28,,,,300.00,20143.27,,,,300.00,,,,
H4OH16115,C00558981,CROSSLAND FOR CONGRESS,Termination report,2016,House,Principal Committee of Candidate,2015-04-01,2015-05-15,362.89,,,,,,,,,,,,
,C00033555,FLOWERS INDUSTRIES INC POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Unauthorized,2015-05-01,2015-05-31,,,,8537.02,110740.96,,,,484.60,8045.10,,,
S4OK00281,C00561902,CROW FOR US SENATE,Termination report,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,,,,,333.00,,,,,,,,
H6MD07160,C00310318,CUMMINGS FOR CONGRESS CAMPAIGN COMMITTEE,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,93522.27,,,88830.28,885964.96,,57700.00,,24000.00,5370.00,,,
H4NE02096,C00553297,DAN FREI FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-04-13,2015-04-13,,,,,0.49,,,,,,,,
H4CA01074,C00556423,DAN LEVINE FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,716.57,500.00,510.00,,,,500.00,,,,
H4IL03077,C00405431,DAN LIPINSKI FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,115917.74,,,89008.25,1020760.46,,57225.00,,29350.00,2433.25,,,
H4CA02098,C00543553,DALE K MESING FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,396.00,,650.00,392.00,33.00,217.00,,,,175.00,,,
H2CT05123,C00494096,DAN ROBERTI FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,1885.00,,451963.74,,503.88,,,,,,,,
H8CA08062,C00436154,DANA WALSH FOR CONGRESS,Termination report,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,7500.22,,,,,,,,,,
H4IL09074,C00545533,DAVID EARL WILLIAMS III FOR CONGRESS,Termination report,2016,House,Principal Committee of Candidate,2015-01-01,2015-01-28,,,1288.54,,,,,,,,,,
H4IL16020,C00553826,DAVID HALE FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,,,1995.28,,,,,,,,
H4VA02029,C00397844,DAVID ASHE FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,200.00,,,,24378.21,,,,,,,,
H0FL25038,C00477356,DAVID RIVERA FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,139873.58,,1047.10,,,,,,,,
,C00573808,DAVID ROGERS FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,,,,,,,,,,,
H2NY09086,C00499103,DAVID WEPRIN FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,300.00,,,,32399.36,,,,,,,,
H0AR03030,C00468033,DAVID WHITAKER FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,18457.09,,3367.43,,,,,,,,
S6CA00683,C00573238,DEL BECCARO FOR SENATE,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,1471.00,,1685.00,25075.00,23603.00,,,,23950.00,1125.00,,,
H4MA06108,C00547257,DEFRANCO FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,1517.98,,5000.00,912.50,146.14,,,,,885.00,,,
H2IL14078,C00507459,DENNIS ANDERSON FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,69950.00,41.80,5548.74,,,,,,,,
S2TX00361,C00499350,DEWHURST FOR TEXAS,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,4869.00,,3023006.00,71175.00,68340.00,,,,,,,,
H6CO01141,C00311639,DIANA DEGETTE FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,76037.80,,,130262.84,74382.20,,53500.00,,72750.00,3887.00,,,
,C00521757,CHARACTER COUNTS POLITICAL ACTION COMMITTEE,Quarterly,2016,Super PAC,Unauthorized,2015-01-01,2015-06-30,3477.16,,,966.65,324.27,,,,,,,,
,C00523811,CHINA WATCH,Termination report,2016,Super PAC,Unauthorized,2015-01-01,2015-06-26,5.00,,,,,,,,,,,,
S4NE00140,C00554675,DOMINA FOR NEBRASKA INC,Termination report,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-01-30,9507.00,1000.00,,2814.00,,,,,250.00,101.00,650.00,1000.00,
H4VI00054,C00320754,DONNA CHRISTENSEN CAMPAIGN,Termination report,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,3617.31,,,,,,,,,,,,
,C00567487,CITIZENS AND PUBLIC SAFETY PROPONENTS FOR TRUTH PAC,Quarterly,2016,Super PAC,Unauthorized,2015-01-01,2015-06-30,1275.00,,,,160.14,,,,,,,,
,C00509075,CITIZENS FOR PROSPERITY AND GOOD GOVERNMENT,Quarterly,2016,Super PAC,Unauthorized,2015-04-01,2015-06-30,,,,,450.60,,,,,,,,
H4HI01167,C00551507,DONNA MERCADO KIM FOR CONGRESS,Termination report,2016,House,Principal Committee of Candidate,2015-01-01,2015-01-31,500.00,,,15.00,,,,,,,,,
H0NY23107,C00464826,DOUG HOFFMAN FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,101790.51,,,,,,,,,,
H8CA03105,C00444836,DOUG OSE FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,45896.29,,272366.12,1774.12,12010.19,,,,,,,,
H4LA06120,C00555474,DR CHARLES 'TREY' THOMAS III FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,236467.16,,-255.38,,,,,,,,
S4OR00198,C00550996,DR MONICA WEHBY FOR US SENATE,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,20646.00,,,9887.00,1262.00,,,9887.00,,,,,
H4CA49107,C00554493,DREW LEAVENS FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,2090.00,,106132.90,,1181.44,,,,,,,,
H4CA24175,C00557124,DR.BRAD ALLEN FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,62.39,,103780.00,,103.77,,,,,,,,
H0WI07051,C00464339,DUFFY FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,65122.50,,,240026.13,849316.69,,121250.00,5388.49,101805.61,11141.77,,,
H6TX15113,C00427708,EDDIE ZAMORA FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,33108.78,,2488.29,,,,,,,,
H8CA52052,C00433524,DUNCAN D. HUNTER FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,67870.60,,,148429.44,533131.53,,127097.72,,19100.00,680.00,,,
H2TX00015,C00254573,EDDIE BERNICE JOHNSON FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,35392.37,,,25399.25,72035.58,,23899.25,,1500.00,,,,
H6MS01206,C00574442,EDWARD TROY HOLLIDAY,Quarterly,2016,House,Principal Committee of Candidate,2015-04-01,2015-04-22,46903.27,,100000.00,5425.00,58521.73,,,,5425.00,,,,
H4CA08103,C00552067,ELECT HANNOSH COMMITTEE,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,632.01,,,,913.80,,,,,,,,
H4KY06130,C00545988,ELISABETH JENSEN FOR CONGRESS,Termination report,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,101540.41,,,98142.43,,,,,,,98142.43,,
H4FL19058,C00541359,ELECT APRIL FREEMAN,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,11786.68,,,14702.00,30449.32,,,,9125.00,4630.00,947.00,,
H2TX01062,C00506287,ELECT DR. MCKELLAR U.S. CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,3200.00,35.00,106.43,,,,35.00,,,,
S6NJ00271,C00410365,ELECTION FUND OF TOM KEAN,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,,,112000.00,0.35,3060.00,,,,,,,,
H8NY19058,C00236513,ENGEL FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,103434.78,,,61700.00,232251.82,,23500.00,,38200.00,,,,
H4SC01172,C00541243,ELIZABETH COLBERT BUSCH FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,,17.50,236934.57,,,,,,,,
H2NY06124,C00517359,ELIZABETH CROWLEY FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,700.00,,1735.91,,,,,,,,
S2NC00083,C00369140,ELIZABETH DOLE  COMMITTEE INC,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,,,250000.00,,,,,,,,,,
H0CA11352,C00545509,ELIZABETH EMKEN FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,205.77,,37695.68,205.77,365.71,,,,,,,,
H2IL12122,C00523258,ENYART FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-03-18,2015-03-31,,,,,,,,,,,,,
H4PA12043,C00543918,ERIN MCCLELLAND FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,5279.36,,54400.00,660.00,5948.07,,,,,660.00,,,
H4GA12051,C00547158,EUGENE YU FOR US SENATE,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,249375.40,,,,,,,,,,
H4VA08240,C00556167,EUILLE FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,1226.85,,,,92.48,,,,,,,,
H0AS00018,C00231092,FALEOMAVAEGA FOR CONGRESS COMMITTEE,Termination report,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,102.89,,,,,,,,,,,,
S4OK00232,C00466482,FAMILIES FOR JAMES LANKFORD,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,248197.00,,,343153.00,418250.00,,92295.00,,204398.00,45814.00,,,
H4TN04155,C00545608,FAPAS4CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,2045.00,1700.00,1700.00,2025.00,12.31,,,,250.00,75.00,,1700.00,
H2WA10014,C00507780,FLEMMING FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,,,,,,,,,,,,,
H2TX27190,C00513531,FILEMON VELA FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,37341.09,,,186544.50,207933.85,,69800.00,,116724.75,,,,
H4NY20121,C00554345,FISCHER FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,4661.54,8000.00,28000.00,8000.00,-4089.48,,,,,,,8000.00,
S2WI00227,C00503227,FITZGERALD FOR US SENATE,Quarterly,2016,Senate,Principal Committee of Candidate,2015-01-01,2015-03-31,,,,,18.00,,,,,,,,
H8LA04225,C00445015,FLEMING FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-01-01,2015-03-31,70449.16,,148735.08,383957.95,1404264.55,,15000.00,,360570.00,8055.10,,,
